 Nuclides mass excess based on AME2016 [Huang et al, CPC41,030002+3(2017)]
 1u = 931.494 MeV              Add/edit entry in any order below 5th line
 M_atom = A*u + Excess         DO NOT ALTER LAST LINE!
 -------------------------------------------------------------------------
 Symbol    Z    A  Excess(MEV)
'n    '    0    1    8.0713171
'p    '    1    1    6.7779800
'n1   '    0    1    8.0713171
'H1   '    1    1    7.2889706
'H2   '    1    2   13.1357218
'H3   '    1    3   14.9498099
'He3  '    2    3   14.9312179
'Li3  '    3    3   28.6670000
'H4   '    1    4   24.6211270
'He4  '    2    4    2.4249156
'Li4  '    3    4   25.3231890
'H5   '    1    5   32.8924440
'He5  '    2    5   11.2312330
'Li5  '    3    5   11.6788860
'Be5  '    4    5   37.1390000
'H6   '    1    6   41.8757210
'He6  '    2    6   17.5920950
'Li6  '    3    6   14.0868790
'Be6  '    4    6   18.3750330
'B6   '    5    6   47.3200000
'H7   '    1    7   49.1350000
'He7  '    2    7   26.0731260
'Li7  '    3    7   14.9071053
'Be7  '    4    7   15.7689990
'B7   '    5    7   27.6765500
'He8  '    2    8   31.6096810
'Li8  '    3    8   20.9458040
'Be8  '    4    8    4.9416710
'B8   '    5    8   22.9215670
'C8   '    6    8   35.0642680
'He9  '    2    9   40.9358260
'Li9  '    3    9   24.9549020
'Be9  '    4    9   11.3484530
'B9   '    5    9   12.4164880
'C9   '    6    9   28.9109720
'He10 '    2   10   49.1971430
'Li10 '    3   10   33.0526240
'Be10 '    4   10   12.6074880
'B10  '    5   10   12.0506090
'C10  '    6   10   15.6986720
'N10  '    7   10   38.8000260
'Li11 '    3   11   40.7282540
'Be11 '    4   11   20.1771670
'B11  '    5   11    8.6677070
'C11  '    6   11   10.6493960
'N11  '    7   11   24.3035590
'Li12 '    3   12   49.0095710
'Be12 '    4   12   25.0777600
'B12  '    5   12   13.3693970
'C12  '    6   12    0.0000000
'N12  '    7   12   17.3380680
'O12  '    8   12   31.9146130
'Li13 '    3   13   56.9808880
'Be13 '    4   13   33.6590770
'B13  '    5   13   16.5619470
'C13  '    6   13    3.1250089
'N13  '    7   13    5.3454810
'O13  '    8   13   23.1154320
'Be14 '    4   14   39.9544980
'B14  '    5   14   23.6636850
'C14  '    6   14    3.0198928
'N14  '    7   14    2.8634167
'O14  '    8   14    8.0077810
'F14  '    9   14   31.9644020
'Be15 '    4   15   49.8258150
'B15  '    5   15   28.9582420
'C15  '    6   15    9.8731440
'N15  '    7   15    0.1014387
'O15  '    8   15    2.8556050
'F15  '    9   15   16.5667510
'Ne15 '   10   15   40.2153730
'Be16 '    4   16   57.4471320
'B16  '    5   16   37.1125100
'C16  '    6   16   13.6941320
'N16  '    7   16    5.6839070
'O16  '    8   16   -4.7370013
'F16  '    9   16   10.6802530
'Ne16 '   10   16   23.9867760
'B17  '    5   17   43.7163170
'C17  '    6   17   21.0318980
'N17  '    7   17    7.8700790
'O17  '    8   17   -0.8087635
'F17  '    9   17    1.9517020
'Ne17 '   10   17   16.5004470
'Na17 '   11   17   35.1732140
'B18  '    5   18   51.7926340
'C18  '    6   18   24.9192640
'N18  '    7   18   13.1131680
'O18  '    8   18   -0.7828156
'F18  '    9   18    0.8731130
'Ne18 '   10   18    5.3176140
'Na18 '   11   18   25.0379880
'B19  '    5   19   59.7702440
'C19  '    6   19   32.4137520
'N19  '    7   19   15.8562820
'O19  '    8   19    3.3328580
'F19  '    9   19   -1.4874442
'Ne19 '   10   19    1.7520500
'Na19 '   11   19   12.9293900
'Mg19 '   12   19   31.8283890
'B20  '    5   20   68.4500000
'C20  '    6   20   37.5035630
'N20  '    7   20   21.7664960
'O20  '    8   20    3.7961720
'F20  '    9   20   -0.0174630
'Ne20 '   10   20   -7.0419306
'Na20 '   11   20    6.8506040
'Mg20 '   12   20   17.4776920
'B21  '    5   21   77.3300000
'C21  '    6   21   45.6430000
'N21  '    7   21   25.2319130
'O21  '    8   21    8.0620350
'F21  '    9   21   -0.0476050
'Ne21 '   10   21   -5.7317760
'Na21 '   11   21   -2.1846310
'Mg21 '   12   21   10.9038500
'Al21 '   13   21   26.9900000
'C22  '    6   22   53.6111970
'N22  '    7   22   31.7648010
'O22  '    8   22    9.2830330
'F22  '    9   22    2.7933730
'Ne22 '   10   22   -8.0247190
'Na22 '   11   22   -5.1815110
'Mg22 '   12   22   -0.3999330
'Al22 '   13   22   18.2010000
'Si22 '   14   22   33.3380000
'C23  '    6   23   64.1710000
